,Reconstruction_Time_Ma,Land1,Land2,Closest_Distance_km,Point1_Lat,Point1_Lon,Point2_Lat,Point2_Lon
0,0,New Zealand,Antarctica,1347.0694100138985,-55.54399999999998,165.9614985070001,-66.06089999999949,153.42800000000034
1,5,New Zealand,Antarctica,1306.5091361116174,-57.019370905029334,169.32838700473306,-67.22637415121045,156.66283947113823
2,10,New Zealand,Antarctica,1269.8588986531095,-58.48002578359971,172.8753193954342,-67.46383206015456,157.1170106997906
3,15,New Zealand,Antarctica,1276.630907584367,-59.2538727880034,176.34677227617416,-70.15712724562991,167.73341344829788
4,20,New Zealand,Antarctica,1271.728477569835,-59.85790291187683,179.8651867373491,-70.28035830025699,168.44075072485217
5,25,New Zealand,Antarctica,1254.9240899936028,-60.864976872703394,-176.9737148934868,-70.88948748626804,170.05057230303203
6,30,New Zealand,Antarctica,1212.368755489743,-61.9232018532713,-174.5518042058038,-72.04229206046317,174.80557362528324
7,35,New Zealand,Antarctica,1162.6193444486703,-62.84336362398166,-173.45131153134287,-72.31667679818626,174.67433396431468
8,40,New Zealand,Antarctica,1132.7576650238527,-63.395315268617765,-173.65764413891222,-72.47460570654685,173.76619510075327
9,45,New Zealand,Antarctica,1122.5491727400065,-64.40501507285755,-173.12863288189507,-72.95675755735859,171.78412807430732
10,50,New Zealand,Antarctica,1071.8598259801597,-65.93873221102055,-172.3132685244046,-73.70324121624058,170.7698274576537
11,55,New Zealand,Antarctica,980.9093107021823,-68.35198400751592,-170.8305938893306,-75.07573590153042,170.5903840261968
12,60,New Zealand,Antarctica,830.0120076343178,-70.96560220288367,-170.66591812336645,-75.97631690289909,169.57573159705248
13,65,New Zealand,Antarctica,616.7125956659994,-72.57295609719924,-170.6612138547214,-76.84927534936058,175.78551488945644
14,70,New Zealand,Antarctica,390.5131879918933,-74.45926223711155,-172.42965736991292,-77.38158932596697,179.51475166830667
15,75,New Zealand,Antarctica,126.5286204957483,-76.81419074463204,-175.05809077956334,-77.59815475922267,-178.78486025207502
16,80,New Zealand,Antarctica,0.0,-79.82125828840279,-178.4364988663877,-79.82125828840279,-178.4364988663877
17,85,New Zealand,Antarctica,0.0,-82.09507371021414,179.86103690769662,-82.09507371021414,179.86103690769662
18,90,New Zealand,Antarctica,0.0,-82.55133546767242,172.35411130651653,-82.55133546767242,172.35411130651653
19,95,New Zealand,Antarctica,0.0,-82.84874605435965,163.9863794199053,-82.84874605435965,163.9863794199053
20,100,New Zealand,Antarctica,0.0,-82.95612763842024,155.08560428494113,-82.95612763842024,155.08560428494113
21,0,New Zealand,Australia,969.2899470697006,-50.5577664449208,164.42283585747458,-49.244860182629,151.02426843585272
22,5,New Zealand,Australia,1065.8396513110101,-54.40467369595092,167.5336322829209,-52.72868588268089,151.60533599413807
23,10,New Zealand,Australia,1114.7156731759526,-57.15095745329663,170.87041912614197,-55.66122422848132,152.89819053612626
24,15,New Zealand,Australia,1148.1336862638896,-57.9222675979536,174.30383538700204,-57.91599618216476,154.79507062639544
25,20,New Zealand,Australia,1183.841313071487,-58.52526896846272,177.78877054193893,-60.334525810170945,157.06778282418202
26,25,New Zealand,Australia,1197.587338880942,-59.523570052455355,-179.09097282848074,-62.96565572087055,159.56514717993105
27,30,New Zealand,Australia,1163.7338690137733,-61.093790926555926,-176.0489997185827,-65.92596362293456,162.96282836554343
28,35,New Zealand,Australia,1092.3150505772153,-62.62569026126136,-174.00087148680916,-68.34163104525435,166.54377403883151
29,40,New Zealand,Australia,1025.766898272148,-63.16735667211188,-174.19697293764935,-68.79208050529998,167.65983546098357
30,45,New Zealand,Australia,1011.5918361319525,-64.40501507285755,-173.12863288189507,-70.02050271065953,168.186062665843
31,50,New Zealand,Australia,968.4228270479679,-65.93873221102055,-172.3132685244046,-71.36117716989222,168.7459004663677
32,55,New Zealand,Australia,878.2554227638982,-68.35198400751592,-170.8305938893306,-72.95397257845009,169.57462289182348
33,60,New Zealand,Australia,728.3825286251147,-70.96560220288367,-170.66591812336645,-74.63955080008596,170.8156674975226
34,65,New Zealand,Australia,546.3088772314268,-72.32333441148191,-171.39115420620954,-74.48578001002268,173.08720716114584
35,70,New Zealand,Australia,383.4830139318638,-73.26967791956243,-174.66890950383564,-74.14282962007792,173.41538165352773
36,75,New Zealand,Australia,249.42322863659487,-75.23311968872366,-177.70240343540075,-74.36303183670731,174.4041204636853
37,80,New Zealand,Australia,206.7783042463907,-75.93445029334575,-177.01954487438508,-75.10329448431338,176.32181557668775
38,85,New Zealand,Australia,219.12220249769683,-76.8368915670872,-178.724965618007,-75.83047004245188,174.0949876313014
39,90,New Zealand,Australia,207.91570490836716,-77.06502123276995,176.16653696161754,-75.9945461516813,169.5765447639909
40,95,New Zealand,Australia,196.73641219072888,-77.18485018925688,170.85205062808848,-76.06430708124333,164.92554097129667
41,100,New Zealand,Australia,185.58455507114104,-77.19058681186873,165.4143958939181,-76.03637514841725,160.20079540867496
42,0,New Zealand,New Caledonia,820.5359947436033,-77.19058681186873,165.4143958939181,-76.03637514841725,160.20079540867496
43,5,New Zealand,New Caledonia,820.5359947435537,-77.19058681186873,165.4143958939181,-76.03637514841725,160.20079540867496
44,10,New Zealand,New Caledonia,820.5359947439117,-77.19058681186873,165.4143958939181,-76.03637514841725,160.20079540867496
